剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
5221,博弈,后宫训话,今日众妃向你请安，一名嫔位妃子言语间暗含机锋。,以雷霆手段当众责罚,心机,155,你立下了贵妃的威严，众人噤若寒蝉。,"心机+15;声望+10",被指责仗势欺人。,"声望-20",以软刀子话语将其驳回,声望,145,你展现了高位者的气度，对方羞愧难当。,"声望+15;心机+5",对方变本加厉，让你下不来台。,"声望-30",0
5222,日常,内廷赏赐,皇上赏赐了一批极品缂丝，命你分配给各宫。,按位分严谨分配,声望,140,宫中秩序井然，皇上赞你办事公允。,"声望+15;圣宠+10",被指责厚此薄彼。,"声望-15",留取部分赏赐有功宫人,心机,135,你成功拉拢了人心。,"心机+10;声望+5",被弹劾私自挪用贡品。,"死亡",0
5223,机遇,皇帝书房共处,皇上在书房批阅奏章，命你在旁研墨。,安静陪伴并适时递茶,体质,130,皇上感到前所未有的宁静。,"圣宠+15;体质+5",你研墨时弄脏了奏折。,"圣宠-20",探讨近日朝中邸报,才情,150,皇上赞你见识不凡，引为知音。,"圣宠+20;才情+15",皇上厌恶后宫窥视朝政。,"死亡",1
5224,日常,古籍修补,宫中珍藏的一卷古本受潮破损，皇上交予你处理。,凭借才学完美修补,才情,155,皇上惊叹你的才华。,"才情+20;圣宠+10",修补痕迹太重，毁了原件。,"死亡",请内务府工匠在旁协助,心机,130,你办事稳妥，未出差错。,"心机+10;声望+10",工匠偷走了古籍中的夹层。,"死亡",0
5225,博弈,寿宴统筹,太后寿辰将至，你需统筹整场宴会的排场。,追求极致奢华彰显国威,声望,155,宴会极尽辉煌，太后大悦。,"声望+25;圣宠+10",被御史弹劾靡费国库。,"死亡",推行节俭但不失体面,心机,145,皇上赞你有勤俭持家之德。,"心机+20;声望+10",场面过于寒酸，丢了皇室颜面。,"声望-40",0
5226,日常,御花园巧遇,你在游园时遇到皇上正为塞外战事忧心。,以温柔乡消解忧虑,容貌,145,皇上在你怀中得到了暂时的放松。,"圣宠+20;容貌+5",皇上此时无心美色。,"圣宠-15",献上亲手绘制的地势图,才情,155,皇上发现你对地势颇有研究。,"圣宠+25;才情+20",图纸画错，险些误导决策。,"死亡",1
5227,机遇,贵妃华服,内务府送来新的贵妃服饰，样式有些逾矩。,命其改回标准制式,声望,150,你守礼持重，皇上赞你深明大义。,"声望+20;心机+10",你被内务府看轻。,"声望-10",照样穿着展现气场,容貌,160,你惊艳了整个御花园。,"圣宠+20;容貌+15",被皇后抓住把柄责罚。,"声望-50",0
5228,日常,琴茗会友,你邀请了几位老牌妃嫔品茶听琴。,展示高超的香道技巧,心机,140,众人皆折服于你的雅趣。,"心机+15;声望+10",香料味道太浓惹人不适。,"声望-10",弹奏平心静气的曲目,才情,145,席间气氛融洽。,"才情+10;声望+15",琴音中有杀伐之气，惹人非议。,"心机-20",0
5229,博弈,太后试探,太后问你对后宫新人受宠的看法。,大方举荐新人,声望,155,太后赞你心胸宽广。,"声望+20;圣宠+10",皇上觉得你不爱他了。,"圣宠-30",坦言心中醋意但不失分寸,心机,145,皇上觉得你真诚可爱。,"圣宠+20;心机+10",太后嫌你小家子气。,"声望-20",1
5230,死局,密函失踪,你宫中一封与外戚往来的家书不翼而飞。,重金封锁宫门彻查,心机,160,你抢在流言散布前找回了信件。,"心机+20;声望+10",打草惊蛇，信件被呈给皇上。,"死亡",主动向皇上坦白内容,声望,150,皇上信赖你的坦荡。,"圣宠+20;声望+10",皇上对信中内容产生怀疑。,"死亡",0
5231,日常,刺绣屏风,你想为皇上的寝宫绣一面挡风的屏风。,绣上江山万里图,体质,140,皇上赞你有宏大志向。,"圣宠+15;体质-10",因劳累过度绣错山河。,"体质-30",绣上两人初见的情景,容貌,145,皇上忆起往昔情深。,"圣宠+20;容貌+10",皇上已经不记得那天了。,"圣宠-20",1
