剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
2001,机遇,敬事房翻牌,夜幕降临，敬事房的公公抬着绿头牌来到你面前，暗示你今日圣上心情不佳。,重金贿赂公公,心机,60,公公收了银子，在皇上面前替你美言了几句。,"圣宠+30;心机+5",公公嫌你寒酸，直接将你的牌子翻了过去。,"声望-10;圣宠-5",素净自然迎接,容貌,75,皇上见你清丽脱俗，不施粉黛，反而心生怜爱。,"圣宠+40;体质-10",皇上觉得你对他不够尊重，转头去了别处。,"圣宠-20;声望-10",1
2002,博弈,晨起请安,今日去皇后宫中请安，宠冠后宫的贵妃故意来迟，还让你让座。,恭敬起身让座,声望,50,你表现得大度得体，皇后赞你识大体。,"声望+15;心机+5",贵妃觉得你是在讽刺她，故意刁难你。,"体质-10;声望-5",坐着不动据理,心机,70,你引用宫规让贵妃哑口无言，众人对你刮目相看。,"声望+25;心机+15",贵妃当场大怒，赏了你两个耳光。,"体质-20;容貌-10",0
2003,日常,御花园偶遇,你在园中散心，撞见皇上正在独自弈棋，似乎遇到了残局。,上前解开棋局,才情,70,皇上惊喜于你的才华，留你对弈良久。,"才情+20;圣宠+35",你棋力不足反而乱了局面，皇上拂袖而去。,"圣宠-15;才情-5",静候一旁磨墨,容貌,65,皇上注意到你的柔情似水，心中泛起涟漪。,"容貌+5;圣宠+20",皇上嫌你碍眼，命你退下。,"圣宠-10",0
2004,死局,红麝香珠,内务府送来一串珍贵的红麝香珠，你总觉得香味有些古怪。,将其转送他人,心机,85,你成功将祸水东引，躲过一劫。,"心机+30",对方发现了你的意图，告发你谋害同僚。,"死亡",深埋花园树下,声望,60,你小心处理了证物，保全了自己。,"心机+15",你被路过的宫女看到，诬陷你掩埋诅咒之物。,"死亡",0
2005,博弈,截胡圣驾,皇上本打算去丽常在宫里，经过你门口时你正在窗边。,高歌一曲哀婉,才情,75,皇上被歌声吸引入内，今夜留宿你处。,"才情+15;圣宠+40",皇上觉得声音刺耳，命人封了你的窗。,"圣宠-25;声望-15",故意摔碎花瓶,心机,65,皇上入内询问，你借机依偎在皇上怀里。,"心机+15;圣宠+30",皇上觉得你笨手笨脚，头也不回地走了。,"声望-20;圣宠-10",1
2006,日常,例银被扣,这个月的份例被内务府无故扣了一半，婢女气得直哭。,带礼物打点管事,心机,60,管事补齐了你的份例，还送了点好炭。,"心机+10;体质+10",管事收了礼却翻脸不认人。,"声望-20;心机-10",去皇后处告状,声望,70,皇后整顿内务府，你拿回了公道。,"声望+20;心机+5",皇后嫌你事多，不耐烦地把你赶出来。,"声望-30;体质-10",0
2007,机遇,深夜侍寝,皇上酒后翻了你的牌子，此时正在龙床上闭目养神。,温柔推拿解酒,体质,60,皇上感到身心舒畅，对你赞不绝口。,"圣宠+40;体质-5",你力道不对，弄疼了皇上。,"圣宠-10;体质-10",红袖添香读诗,才情,80,皇上赞你蕙质兰心，是宫中难得的知音。,"才情+20;圣宠+50",皇上嫌你吵闹，直接让你下床回宫。,"圣宠-30;声望-20",1
2008,博弈,御膳夺食,御膳房送来的燕窝被贵人身边的太监强行夺走。,据理力争抢回,声望,65,你保住了自己的位份尊严。,"声望+20;体质+10",你被太监推倒在地，受了羞辱。,"体质-20;声望-15",默默忍受记恨,心机,55,你暂时隐忍，寻找机会反击。,"心机+15",你被认为软弱可欺，人人皆来踩一脚。,"声望-25",0
2009,死局,降位危机,你被诬陷偷窃皇后宫中的东珠，皇上正要下旨将你降为宫女。,拼死辩白伸冤,声望,85,你找出疑点反败为胜，皇上深感愧疚。,"圣宠+60;声望+40",皇上觉得你狡辩，直接赐下一尺白绫。,"死亡",求助母家势力,心机,90,你通过人脉平息了此事。,"心机+40;声望+10",家信被截获，被指结党营私。,"死亡",0
2010,日常,冬日赏雪,皇上兴致颇高，邀众位小主一同赏雪。,赋诗赞美雪景,才情,75,皇上龙颜大悦，赏赐你珍贵狐裘。,"才情+20;圣宠+30",你的诗作平庸，被众位嫔妃嘲笑。,"声望-20;才情-5",展示踏雪寻梅,容貌,80,你在雪中翩翩起舞，宛如雪中精灵。,"容貌+15;圣宠+40",你脚下滑倒摔入冰池，大病一场。,"体质-40;容貌-10",0
