剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
6311,博弈,凤印之威,一名贵妃在账目上动手脚，试图架空你的权力。,当众查账并夺其协理权,心机,175,你雷厉风行，彻底稳固了治理权。,"心机+20;声望+15",被指责心胸狭隘不容人。,"声望-30",私下敲打令其自首,声望,170,她对你感恩戴德，从此效忠。,"声望+20;心机+10",她反咬一口，指你栽赃。,"死亡",0
6312,日常,主持蚕礼,你需率领命妇出城举行亲蚕礼，以示重农。,亲自采桑展现勤勉,体质,160,天下学子皆赞皇后贤德。,"声望+25;体质+10",你在桑林中体力不支晕倒。,"体质-30",庄严宣读祭祀文告,才情,170,你的才情让朝廷重臣皆服。,"才情+20;声望+15",读错祭文被指不祥。,"死亡",0
6313,机遇,皇帝宿疾,皇上因连日批阅奏章导致眼疾，暂住你宫中。,亲手调配明目药膏,体质,155,皇上眼疾缓解，对你倍加感激。,"圣宠+20;体质-5",药膏导致皇上眼部过敏。,"死亡",读书给皇上听以代劳,才情,175,皇上赞你是他的“解语花”。,"圣宠+25;才情+15",由于涉及机密，引起皇上猜忌。,"圣宠-40",1
6314,日常,后宫大考,你负责考核后宫嫔妃的言行德行。,秉公处理重罚违规者,声望,180,后宫风气一振，肃穆有礼。,"声望+30;心机+10",被弹劾治理过于严苛。,"声望-40",设立奖赏激励优秀者,心机,165,嫔妃们皆对你交口称赞。,"心机+15;声望+10",被人私下嘲笑你是“滥好人”。,"心机-10",0
6315,机遇,微服出巡,皇上提议带你换上民服，去京城街头微访。,体察民情撰写建言,才情,180,你的建议切中时弊，皇上大赞。,"圣宠+20;才情+20",言论过于激进，令皇上反感。,"圣宠-20",在街头与皇上共食小吃,容貌,170,皇上重温了平凡夫妻的快乐。,"圣宠+25;容貌+5",你不适应民间粗食，当众呕吐。,"声望-30",1
6316,博弈,外戚之争,你的母家请求你为其在朝中争取肥差。,严词谢绝并告诫族人,声望,185,皇上赞你大公无私，更信任你。,"声望+30;心机+15",家族与你决裂，后援尽失。,"声望-50",举荐族中有才者从基层做起,心机,175,皇上觉得你举贤不避亲。,"心机+20;圣宠+10",被言官弹劾任人唯亲。,"死亡",0
6317,日常,整理凤仪宫,你在库房发现一卷前朝皇后的手绘图。,临摹其神韵自省其德,才情,170,你的修养达到了新的境界。,"才情+15;声望+10",被指责崇尚前朝遗风。,"声望-20",请皇上共同修缮此画,容貌,165,两人共享宁静的书画时光。,"圣宠+15;容貌+10",你不小心撕裂了画轴。,"圣宠-20",1
6318,机遇,番邦贺礼,外国使臣送来一尊巨大的红珊瑚，皇上交由你陈设。,摆放在太后寝宫尽孝,声望,175,太后逢人便夸你孝顺。,"声望+30;心机+10",珊瑚在搬运中碎了一角。,"死亡",摆在正殿接受众妃朝拜,心机,170,展现了中宫不可撼动的地位。,"心机+20;声望+10",被指责穷兵黩武。,"声望-30",0
6319,日常,研磨墨香,皇上在凤仪宫提笔书写“母仪天下”。,在旁屏息研磨顶级朱砂,体质,160,红袖添香，意境深远。,"圣宠+20;体质+5",墨水溅到了皇上的白袍上。,"圣宠-20",为此字题写跋文,才情,180,皇上赞你字迹已有大家之风。,"圣宠+25;才情+15",题字中有错漏。,"死亡",1
6320,死局,谋逆伪证,有人将一封与外邦私通的信件藏在你凤床之下。,冷静利用香气追踪陷害之人,心机,185,你抓住了企图越位的贵妃。,"心机+30;声望+20",搜查官先于你找到了信件。,"死亡",在大殿上当众自焚信件,声望,180,皇上信赖你的为人，不查自明。,"圣宠+30;声望+20",皇上认为你在销毁证据。,"死亡",0
6321,日常,修剪宫苑,你决定亲手修剪凤仪宫的百花。,剪出山河壮丽之态,才情,170,皇上赞你心中有乾坤。,"才情+15;圣宠+10",剪断了皇上最爱的奇花。,"圣宠-30",指导年轻嫔妃修剪,心机,165,你展现了中宫的教化之功。,"心机+15;声望+10",嫔妃们觉得你在刁难她们。,"声望-10",0
