剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
1001,日常,御花园除草,今日阳光毒辣，你被分派去御花园最偏僻的角落除草，那里蛇虫出没。,低头勤恳干活,体质,30,你虽然晒得脱皮，但差事完成得极好，姑姑赏了你。 ,体质+5;声望+5,你因中暑晕倒在花丛中，被克扣了例银。,体质-15;声望-5,偷偷在树下乘凉,心机,40,你巧妙躲开了巡视，还偷听到了宫人的私语。,心机+10;体质+2,你被巡逻太监抓个正着，罚跪三个时辰。,体质-25;声望-10,0
1002,博弈,丢失的金钗,同屋的小玲诬陷你偷了她的金钗，带人要在你床铺下搜查。,任由她们搜查,心机,45,你早已察觉并将金钗藏入小玲被褥中，反将一计。,心机+15;声望+10,你被搜出假赃物，百口莫辩被送往慎刑司。,体质-30;声望-20,大吵大闹理论,声望,40,你声势惊人引来姑姑，最终不了了之。,声望+10;心机-5,你被认为居心叵测，挨了掌嘴。,体质-10;声望-15,0
1003,机遇,圣驾路过,你在运送浆洗衣服时，不小心撞见了皇上在凉亭小憩。,屏息悄悄退下,声望,30,你进退有度，并未惊动圣驾，平安离开。,声望+5,你惊慌跌倒打翻了木桶，惊扰龙颜被罚。,体质-15;声望-10,借机展现才艺,才情,65,皇上被你的歌声吸引，多看了你两眼。,才情+10;圣宠+20,皇上觉得你心机深重，命人将你撵走。,圣宠-20;声望-15,0
1004,死局,深井惊魂,深夜，你路过枯井听到有人在密谋毒害高位妃嫔，对方发现了你！,迅速跪地求饶,心机,55,你靠着机敏的言语暂时骗过了对方，捡回一命。,心机+20;声望+5,对方为了灭口，当场将你勒死。,死亡,拼命向外奔逃,体质,50,你靠着灵活的身法成功甩掉了追兵。,体质+5;心机+10,你被追上推入冷宫枯井中。,死亡,0
1005,差事,贵人送礼,你被派往给宠妃送一尊贵重的珊瑚摆件，路滑难行。,稳扎稳打慢行,体质,45,虽然迟了些，但东西完好无损送到。,体质+5;声望+5,你脚下一滑撞碎了珊瑚，被重罚。,体质-40;声望-30,抄近路通过,心机,55,你利用对地形的熟悉快速送到，得了赏赐。,心机+15;声望+10,你在近路撞到了其他主子，被指冲撞。,声望-20;体质-10,0
1006,日常,深夜针线,为了补齐被克扣的份例，你不得不在昏暗的灯下熬夜赶制绣品。,苦练刺绣技巧,才情,40,你的绣工突飞猛进，绣品卖了好价钱。,才情+15;心机+5,你的眼睛因疲劳过度，视力大损。,容貌-15;体质-5,快速敷衍交差,体质,35,你早早睡下，身体得到了休息。,体质+10,绣品太烂被退回，还被罚了苦役。,体质-15;声望-5,0
1007,博弈,领班的刁难,领班太监垂涎你的容貌，暗示你晚上去他的偏房，否则没你好果子吃。,假意答应周旋,心机,50,你设法引来其他宫女，让他不敢下手。,心机+15;声望+5,你被他强行扣下受了惊吓。,体质-20;容貌-10,言辞断然拒绝,声望,60,他被你正气所震，暂时收敛了恶行。,声望+15;心机-5,他恼羞成怒，将你调往辛者库干重活。,体质-30;声望-20,0
1008,死局,谋逆证据,你在御花园假山石缝里发现一张写满朝臣名字的密信，似乎是谋逆名单。,拼死呈给皇上,体质,100,你立下惊天大功，皇上对你印象深刻。,圣宠+70;声望+40,你在御书房外被乱箭射死。,死亡,当做没看见烧毁,心机,45,你保住了一条小命，但内心惶惶不可终日。,心机+20,你因身上有火油味被同党发现灭口。,死亡,0
1009,日常,御膳房帮工,御膳房人手不足，你被调去洗一整天的盘子，手被水泡得发白。,勤恳工作不怨,体质,50,总管觉得你手脚麻利，赏了你一碗肉汤。,体质+15;声望+5,你打破了一叠精美的瓷盘，挨了鞭子。,体质-25;声望-10,暗中偷吃糕点,心机,45,你尝到了从未见过的美味，体力恢复。,体质+10;心机+5,你被偷吃被抓，被关进柴房禁食三日。,体质-35,0
1010,日常,宫规考核,管事姑姑今日突击检查宫规，若背不出来要罚去洗马厩。,对答如流,才情,40,姑姑赞你是个有心的，给了你两块点心。,才情+10;声望+5,你因紧张记错了条目，被罚苦力。,体质-10;声望-5,贿赂检查宫女,心机,45,对方收了你的银子，替你遮掩过去。,心机+10,对方收了钱却反悔，告发了你。,声望-20;体质-10,0
