剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
3001,博弈,协理朝贡,皇后身体抱恙，命你协助处理番邦进贡的锦缎物资。,严查账目疏漏,心机,85,你揪出了内务府贪墨的证据，皇后大加赞赏。,"心机+10;声望+15",你被内务府联合诬陷私吞贡品。,"死亡",亲自挑选呈送,容貌,80,你选的缎子正中皇上心意，当晚被召侍寝。,"圣宠+20;容貌+20",皇上觉得你眼光俗气。,"圣宠-30",1
3002,日常,御苑琴音,皇上在御花园听闻琴声，寻声而来发现你正在抚琴。,弹奏高山流水,才情,90,皇上赞你不仅琴技高超，更是难得的知音。,"才情+15;圣宠+20",你因指法错乱，曲不成调。,"圣宠-20",合琴起身行礼,声望,85,你举止大方得体，皇上拉起你的手共赏。,"圣宠+10;声望+20",皇上觉得你太木讷，打消了兴致。,"圣宠-10",1
3003,博弈,位分之争,一名新晋的嫔位妃子故意在御道上拦住你的轿辇。,据理力争规矩,声望,85,你引经据典让她无话可说，维护了贵人的尊严。,"声望+15;心机+20",对方当众掌掴你，你颜面尽失。,"声望-60;体质-20",委屈退避让路,心机,80,皇上得知后怜你懂事，当晚特意来安抚。,"圣宠+25;心机+15",众人觉得你软弱可欺，待遇大不如前。,"声望-40",0
3004,死局,谋逆迷踪,你在御书房外意外捡到了某位重臣与宫外勾结的密信。,立刻焚烧证据,心机,95,你成功躲过这场泼天祸事，不留痕迹。,"心机+20",火光引来了侍卫，你被指控毁坏机密。,"死亡",冒死呈给皇上,声望,90,皇上惊觉你赤胆忠心，晋升你为嫔。,"圣宠+200;声望+15",你在送信途中被反贼灭口。,"死亡",0
3005,机遇,圣驾临门,皇上深夜突然造访，见你正对镜贴花，孤芳自赏。,邀皇上共画眉,容貌,95,皇上亲自为你画眉，情意浓时留宿。,"圣宠+30;容貌+30",皇上嫌你妆容妖艳，不似良家。,"圣宠-40",展示亲绣寝衣,才情,80,皇上感念你针线入微，关怀备至。,"圣宠+20;才情+20",寝衣针脚粗糙，皇上不悦。,"圣宠-20",1
3006,日常,宫中宴请,今日是你主持的小型茶会，众妃嫔皆在场。,展示新茶道,才情,85,你的茶艺清新脱俗，连贵妃也高看你一眼。,"才情+10;声望+30",你失手打翻茶盏，当众出丑。,"声望-30",赠送亲制香囊,心机,85,每个人都对你的周到赞不绝口。,"心机+25;声望+20",香囊香气引人过敏，引发骚乱。,"声望-50",0
3007,博弈,内廷流言,宫中流传你克扣下人，名声受损。,大赏宫人澄清,声望,80,下人们纷纷感念恩德，谣言不攻自破。,"声望+10;心机+10",别人指责你是收买人心。,"声望-20",暗中彻查源头,心机,90,你抓住了造谣的宫女，将其交由慎刑司。,"心机+15;声望+20",你被指控滥用私刑。,"死亡",0
3008,机遇,伴驾出巡,皇上欲前往西山狩猎，点名要一名妃子随行。,骑马英姿飒爽,体质,90,皇上赞你巾帼不让须眉，与你并肩而行。,"圣宠+25;体质+30",你从马上摔落，摔伤了腿。,"体质-50;容貌-10",帐内温婉伴驾,容貌,85,皇上在营帐内独宠你一人。,"圣宠+30;容貌+10",皇上觉得你无趣，去陪别人了。,"圣宠-30",1
3009,日常,研读史书,你正在书房苦读，皇上突然闯入考校你的见解。,对答如流深刻,才情,100,皇上称你为“宫中第一才女”。,"才情+20;圣宠+25",你言语空洞，被皇上斥责。,"圣宠-40",谦卑称不通政,心机,85,皇上觉得你安分守己，很是放心。,"心机+20;圣宠+30",皇上觉得你胸无点墨。,"才情-20",0
