剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
4151,博弈,执掌凤印,皇后病重，皇上命你暂代管理六宫事宜。,严格核查往年账目,心机,135,你揪出了多年积弊，皇上赞你有治世之才。,"心机+80;声望+100",由于得罪人太多，你被联名告发。,"死亡",怀柔安抚各宫,声望,125,后宫嫔妃尽皆归心，纷纷向你请安。,"声望+150;心机+40",被指责收买人心，图谋不轨。,"声望-100",0
4152,日常,圣驾亲临,皇上处理政务疲累，深夜来到你宫中寻求慰藉。,献上亲制养生膳食,体质,120,皇上食后神清气爽，称赞你贤良淑德。,"圣宠+100;体质+20",膳食药性太冲，皇上当晚腹痛。,"圣宠-80",探讨史书解闷,才情,140,皇上惊讶于你的见地，引你为红颜知己。,"圣宠+150;才情+60",你言论过于激进，皇上不悦。,"圣宠-50",1
4153,博弈,家族封赏,你哥哥在朝中立功，皇上问你想要什么赏赐。,请求赏赐哥哥官职,声望,130,家族势力更上一层楼，你在宫中地位更稳。,"声望+200;圣宠+50",被皇上指责后宫干政。,"死亡",婉拒并求皇上保重,心机,125,皇上赞你识大体，反而加倍封赏你家。,"圣宠+180;心机+50",皇上觉得你对家族冷漠。,"声望-50",1
4154,日常,后宫调停,两名贵人因御花园赏花起了冲突，闹到你面前。,依律严惩带头者,声望,135,你赏罚分明，宫中风气为之一肃。,"声望+120;心机+40",被指责刻薄寡恩，不近人情。,"声望-60",各打五十大板言和,心机,120,你展现了长者的慈悲，平息了事端。,"心机+60;声望+40",她们觉得你软弱，私下依然争斗。,"声望-40",0
4155,机遇,祭天随驾,皇上决定带一名妃子共同祭天，这是极高的荣耀。,展示端庄的祭礼仪态,容貌,140,你如仙妃下凡，令万民景仰，皇上大悦。,"声望+300;容貌+50",你在高台上站立不稳，失了礼数。,"死亡",撰写祭天祈福文,才情,145,你的才华令满朝文武折服。,"声望+250;才情+80",文中有生僻字读错。,"声望-100",0
4156,日常,内务整顿,你发现内务府送来的布料成色不足。,亲自去内务府质问,声望,130,总管自知理亏，连夜补送了双倍好物。,"声望+100;心机+30",被指责仗势欺人，越俎代庖。,"声望-50",暗中派人调查账目,心机,140,你掌握了内务府的短处，他们唯你是从。,"心机+120;声望+50",你的调查被提前发现。,"死亡",0
4157,机遇,皇帝生辰,你要为皇上的生辰准备一份震动六宫的贺礼。,组织百人歌舞阵,容貌,145,场面宏大震撼，皇上当众亲吻你的额头。,"圣宠+300;容貌+60",排演时有人摔伤，被指寓意不祥。,"声望-120",献上亲绣江山图,体质,130,皇上感念你日夜辛劳，倍加怜惜。,"圣宠+200;体质-30",你因劳累过度，在席上晕倒。,"体质-50",1
4158,博弈,新妃争宠,一名年轻秀女因貌美被封贵人，且处处模仿你。,当众指点其仪态不足,容貌,150,皇上觉得还是你更有神韵，对方成了笑话。,"圣宠+150;容貌+40",皇上觉得你嫉妒新人，心胸狭隘。,"圣宠-100",送其贵重衣物示好,心机,130,你赢得了贤惠之名，且让其放松警惕。,"声望+100;心机+50",对方觉得你在施舍，并不领情。,"心机-30",0
4159,日常,御书房陪伴,皇上正在为边境战事忧心忡忡。,温柔推拿并宽慰,体质,125,皇上在你这里得到了最好的放松。,"圣宠+100;体质-10",你按错了穴位，皇上更烦躁了。,"圣宠-40",分析战局利弊,才情,150,皇上惊叹你的政治眼光，与你对弈到天明。,"圣宠+200;才情+100",皇上斥责女子不得妄谈国事。,"死亡",1
4160,死局,鸩酒风波,你被指控在太后的汤药里下毒，证据确凿。,以死相搏自证清白,心机,150,你冷静找出了证词中的破绽，反杀真凶。,"心机+200;声望+150",你因证据不足被直接赐死。,"死亡",求皇上给三日时间,声望,145,皇上念及旧情答应你，你最终翻案。,"圣宠+300;声望+100",三日后你依然没找到证据。,"死亡",0
